ukb_code	term_label	term_codes	mapping_type	ukb_fullcode	current_term_label	category
K04	dental pulp disease	EFO:0009540	Broad	K04-Diagnoses_main_ICD10_K04_Diseases_of_pulp_and_periapical_tissues	dental pulp disease	disease
G50	trigeminal nerve disease	EFO:0009569	Exact	G50-Diagnoses_main_ICD10_G50_Disorders_of_trigeminal_nerve	trigeminal nerve disease	disease
H73	tympanic membrane disease	EFO:0009570	Exact	H73-Diagnoses_main_ICD10_H73_Other_disorders_of_tympanic_membrane	tympanic membrane disease	disease
K22	esophageal disease	EFO:0009544	Exact	K22-Diagnoses_main_ICD10_K22_Other_diseases_of_oesophagus	esophageal disease	disease
I34	mitral valve disease	EFO:0009557	Broad	I34-Diagnoses_main_ICD10_I34_Nonrheumatic_mitral_valve_disorders	mitral valve disease	disease
I35	aortic valve disease	EFO:0009531	Broad	I35-Diagnoses_main_ICD10_I35_Nonrheumatic_aortic_valve_disorders	aortic valve disease	disease
H01	blepharitis	EFO:0009536	Exact	H01-Diagnoses_main_ICD10_H01_Other_inflammation_of_eyelid	blepharitis	disease
H60	otitis externa	EFO:0009560	Exact	H60-Diagnoses_main_ICD10_H60_Otitis_externa	otitis externa	disease
K83	biliary tract disease	EFO:0009534	Exact	K83-Diagnoses_main_ICD10_K83_Other_diseases_of_biliary_tract	biliary tract disease	disease
I84	hemorrhoid	EFO:0009552	Exact	I84-Diagnoses_main_ICD10_I84_Haemorrhoids	hemorrhoid	disease
M18	joint disease	EFO:1000999	Broad	M18-Diagnoses_main_ICD10_M18_Arthrosis_of_first_carpometacarpal_joint	joint disease	disease
G61	chronic inflammatory demyelinating polyneuropathy	EFO:0009538	Broad	G61-Diagnoses_main_ICD10_G61_Inflammatory_polyneuropathy	chronic inflammatory demyelinating polyneuropathy	disease
K66	disease of peritoneum	EFO:0009541	Exact	K66-Diagnoses_main_ICD10_K66_Other_disorders_of_peritoneum	disease of peritoneum	disease
K90	malabsorption syndrome	EFO:0009554	Broad	K90-Diagnoses_main_ICD10_K90_Intestinal_malabsorption	malabsorption syndrome	disease
G44	headache disorder	EFO:0009550	Exact	G44-Diagnoses_main_ICD10_G44_Other_headache_syndromes	headache disorder	disease
G54	nerve plexus disease	EFO:0009559	Exact	G54-Diagnoses_main_ICD10_G54_Nerve_root_and_plexus_disorders	nerve plexus disease	disease
L57	radiation-induced disorder	EFO:0009565	Broad	L57-Diagnoses_main_ICD10_L57_Skin_changes_due_to_chronic_exposure_to_nonionising_radiation	radiation-induced disorder	disease
M50	cervical disc degenerative disease	EFO:0009537	Broad	M50-Diagnoses_main_ICD10_M50_Cervical_disk_disorders	cervical disc degenerative disorder	disease
K38	disorder of appendix	EFO:0009542	Exact	K38-Diagnoses_main_ICD10_K38_Other_diseases_of_appendix	disorder of appendix	disease
H72	tympanic membrane perforation	EFO:0009472	Exact	H72-Diagnoses_main_ICD10_H72_Perforation_of_tympanic_membrane	tympanic membrane perforation	
K10	jaw disease	EFO:0009468	Exact	K10-Diagnoses_main_ICD10_K10_Other_diseases_of_jaws	jaw disease	disease
N75	Bartholin's gland disease	EFO:0009469	Exact	N75-Diagnoses_main_ICD10_N75_Diseases_of_Bartholins_gland	bartholin gland disease	disease
M70	soft tissue disease	EFO:0009470	Broad	M70-Diagnoses_main_ICD10_M70_Soft_tissue_disorders_related_to_use_overuse_and_pressure	soft tissue disease	disease
1160	sleep duration	EFO:0005271	Exact	1160-Sleep_duration	sleep duration	
1180	chronotype measurement	EFO:0008328	Exact	1180-Morningevening_person_chronotype	chronotype measurement	
1200	insomnia	EFO:0004698	Exact	1200-Sleeplessness_insomnia	insomnia	disease
1210	snoring measurement	EFO:0008341	Exact	1210-Snoring	snoring measurement	
1558	alcohol consumption measurement	EFO:0007878	Exact	1558-Alcohol_intake_frequency	alcohol consumption measurement	
1920	mood swings	HP:0000720	Exact	1920-Mood_swings	mood swings	
1940	irritability	HP:0000737	Exact	1940-Irritability	irritability	
2020	loneliness measurement	EFO:0007865	Exact	2020-Loneliness_isolation	loneliness measurement	disease
2080	tiredness measurement	EFO:0007946	Exact	2080-Frequency_of_tiredness_lethargy_in_last_2_weeks	tiredness measurement	
2257	hearing loss	EFO:0004238	Exact	2257-Hearing_difficultyproblems_with_background_noise	hearing loss	disease
2335	chest pain	HP:0100749	Exact	2335-Chest_pain_or_discomfort	chest pain	
2385	age at voice drop	EFO:0007888	Exact	2385-Relative_age_voice_broke	age at voice drop	
2714	age at menarche	EFO:0004703	Exact	2714-Age_when_periods_started_menarche	age at menarche	
2724	menopause	EFO:0003922	Exact	2724-Had_menopause	menopause	
3404	shoulder pain  || neck pain	HP:0030834, HP:0030833	Broad	3404-Neckshoulder_pain_for_3_months	shoulder pain AND neck pain	
3414	hip pain	HP:0030838	Broad	3414-Hip_pain_for_3_months	hip pain	
3571	back pain	HP:0003418	Broad	3571-Back_pain_for_3_months	back pain	
3591	hysterectomy	EFO:0003881	Broad	3591-Ever_had_hysterectomy_womb_removed	hysterectomy	
3710	menstrual cycle measurement	EFO:0007786	Exact	3710-Length_of_menstrual_cycle	menstrual cycle measurement	
3741	pain in abdomen	EFO:0003766	Exact	3741-Stomachabdominal_pain_for_3_months	pain in abdomen	
3799	headache disorder  || headache	EFO:0009550, HP:0002315	Exact	3799-Headaches_for_3_months	headache disorder AND headache	disease
4041	gestational diabetes	EFO:0004593	Exact	4041-Gestational_diabetes_only	gestational diabetes	disease
4728	lower limb pain	HP:0012514	Broad	4728-Leg_pain_on_walking	lower limb pain	
5452	lower limb pain	HP:0012514	Broad	5452-Leg_pain_when_standing_still_or_sitting	lower limb pain	
5463	lower limb pain	HP:0012514	Broad	5463-Leg_pain_in_calfcalves	lower limb pain	
6015	chest pain	HP:0100749	Broad	6015-Chest_pain_felt_during_physical_activity	chest pain	
6016	chest pain	HP:0100749	Broad	6016-Chest_pain_felt_outside_physical_activity	chest pain	
20122	bipolar disorder	EFO:0000289	Exact	20122-Bipolar_disorder_status	bipolar disorder	disease
22126	seasonal allergic rhinitis	EFO:0003956	Exact	22126-Doctor_diagnosed_hayfever_or_allergic_rhinitis	seasonal allergic rhinitis	disease
22127	asthma	EFO:0000270	Exact	22127-Doctor_diagnosed_asthma	asthma	disease
22128	emphysema	EFO:0000464	Exact	22128-Doctor_diagnosed_emphysema	emphysema	disease
22129	chronic bronchitis	EFO:0006505	Exact	22129-Doctor_diagnosed_chronic_bronchitis	chronic bronchitis	disease
22130	chronic obstructive pulmonary disease	EFO:0000341	Exact	22130-Doctor_diagnosed_COPD_chronic_obstructive_pulmonary_disease	chronic obstructive pulmonary disease	disease
22133	sarcoidosis	Orphanet:797	Exact	22133-Doctor_diagnosed_sarcoidosis	sarcoidosis	disease
22134	bronchiectasis	HP:0002110	Exact	22134-Doctor_diagnosed_bronchiectasis	bronchiectasis	
22137	tuberculosis	Orphanet:3389	Exact	22137-Doctor_diagnosed_tuberculosis	tuberculosis	disease
22140	lung carcinoma	EFO:0001071	Narrow	22140-Doctor_diagnosed_lung_cancer_not_mesothelioma	lung carcinoma	disease
20001_1001	lung carcinoma	EFO:0001071	Narrow	20001_1001-Cancer_code_selfreported_lung_cancer	lung carcinoma	disease
20001_1003	skin carcinoma	EFO:0009259	Narrow	20001_1003-Cancer_code_selfreported_skin_cancer	skin carcinoma	disease
20001_1006	laryngeal neoplasm	EFO:0003817	Broad	20001_1006-Cancer_code_selfreported_larynxthroat_cancer	laryngeal neoplasm	disease
20001_1011	tongue neoplasm	EFO:0003871	Broad	20001_1011-Cancer_code_selfreported_tongue_cancer	tongue neoplasm	disease
20001_1017	esophageal carcinoma	EFO:0002916	Narrow	20001_1017-Cancer_code_selfreported_oesophageal_cancer	esophageal carcinoma	disease
20001_1018	stomach neoplasm	EFO:0003897	Broad	20001_1018-Cancer_code_selfreported_stomach_cancer	stomach neoplasm	disease
20001_1019	small intestine carcinoma	EFO:0005588	Narrow	20001_1019-Cancer_code_selfreported_small_intestinesmall_bowel_cancer	small intestine carcinoma	disease
20001_1020	colorectal carcinoma	EFO:1001951	Narrow	20001_1020-Cancer_code_selfreported_large_bowel_cancercolorectal_cancer	colorectal carcinoma	disease
20001_1022	colon carcinoma	EFO:1001950	Narrow	20001_1022-Cancer_code_selfreported_colon_cancersigmoid_cancer	colon carcinoma	disease
20001_1023	rectal cancer	EFO:1000657	Exact	20001_1023-Cancer_code_selfreported_rectal_cancer	rectum cancer	disease
20001_1024	hepatocellular carcinoma	EFO:0000182	Narrow	20001_1024-Cancer_code_selfreported_liverhepatocellular_cancer	hepatocellular carcinoma	disease
20001_1030	eye neoplasm	EFO:0003824	Broad	20001_1030-Cancer_code_selfreported_eye_andor_adnexal_cancer	eye neoplasm	disease
20001_1032	brain neoplasm	EFO:0003833	Broad	20001_1032-Cancer_code_selfreported_brain_cancer_primary_malignant_brain_tumour	brain neoplasm	disease
20001_1034	kidney neoplasm	EFO:0003865	Broad	20001_1034-Cancer_code_selfreported_kidneyrenal_cell_cancer	kidney neoplasm	disease
20001_1035	bladder carcinoma	EFO:0000292	Narrow	20001_1035-Cancer_code_selfreported_bladder_cancer	bladder carcinoma	disease
20001_1048	leukemia	EFO:0000565	Exact	20001_1048-Cancer_code_selfreported_leukaemia	leukemia	disease
20001_1050	multiple myeloma	EFO:0001378	Exact	20001_1050-Cancer_code_selfreported_multiple_myeloma	multiple myeloma	disease
20001_1052	Hodgkins lymphoma	EFO:0000183	Exact	20001_1052-Cancer_code_selfreported_hodgkins_lymphoma_hodgkins_disease	hodgkins lymphoma	disease
20001_1053	non-Hodgkins lymphoma	EFO:0005952	Exact	20001_1053-Cancer_code_selfreported_nonhodgkins_lymphoma	non-hodgkins lymphoma	disease
20001_1055	chronic lymphocytic leukemia	EFO:0000095	Exact	20001_1055-Cancer_code_selfreported_chronic_lymphocytic	chronic lymphocytic leukemia	disease
20001_1059	melanoma	EFO:0000756	Exact	20001_1059-Cancer_code_selfreported_malignant_melanoma	melanoma	disease
20001_1060	non-melanoma skin carcinoma	EFO:0009260	Narrow	20001_1060-Cancer_code_selfreported_nonmelanoma_skin_cancer	non-melanoma skin carcinoma	disease
20001_1061	basal cell carcinoma	EFO:0004193	Exact	20001_1061-Cancer_code_selfreported_basal_cell_carcinoma	basal cell carcinoma	disease
20001_1062	squamous cell carcinoma	EFO:0000707	Exact	20001_1062-Cancer_code_selfreported_squamous_cell_carcinoma	squamous cell carcinoma	disease
20001_1063	bone neoplasm	EFO:0003820	Broad	20001_1063-Cancer_code_selfreported_primary_bone_cancer	bone neoplasm	disease
20001_1065	thyroid carcinoma	EFO:0002892	Narrow	20001_1065-Cancer_code_selfreported_thyroid_cancer	thyroid carcinoma	disease
20002_1065	hypertension	EFO:0000537	Exact	20002_1065-Noncancer_illness_code_selfreported_hypertension	hypertension	disease
20002_1066	heart disease	EFO:0003777	Exact	20002_1066-Noncancer_illness_code_selfreported_heartcardiac_problem	heart disease	disease
20002_1067	peripheral vascular disease	EFO:0003875	Exact	20002_1067-Noncancer_illness_code_selfreported_peripheral_vascular_disease	peripheral vascular disease	disease
20002_1072	primary hypertension	EFO:1002032	Exact	20002_1072-Noncancer_illness_code_selfreported_essential_hypertension	primary hypertension	disease
20002_1074	angina pectoris	EFO:0003913	Exact	20002_1074-Noncancer_illness_code_selfreported_angina	angina pectoris	
20002_1075	myocardial infarction	EFO:0000612	Exact	20002_1075-Noncancer_illness_code_selfreported_heart_attackmyocardial_infarction	myocardial infarction	disease
20002_1076	heart failure	EFO:0003144	Exact	20002_1076-Noncancer_illness_code_selfreported_heart_failurepulmonary_odema	heart failure	disease
20002_1077	cardiac arrhythmia	EFO:0004269	Exact	20002_1077-Noncancer_illness_code_selfreported_heart_arrhythmia	cardiac arrhythmia	disease
20002_1079	cardiomyopathy	EFO:0000318	Exact	20002_1079-Noncancer_illness_code_selfreported_cardiomyopathy	cardiomyopathy	disease
20002_1081	stroke	EFO:0000712	Exact	20002_1081-Noncancer_illness_code_selfreported_stroke	stroke	disease
20002_1082	transient ischemic attack	EFO:0003764	Exact	20002_1082-Noncancer_illness_code_selfreported_transient_ischaemic_attack_tia	transient ischemic attack	disease
20002_1083	subdural hemorrhage	HP:0100309	Exact	20002_1083-Noncancer_illness_code_selfreported_subdural_haemorrhagehaematoma	subdural hemorrhage	disease
20002_1086	subarachnoid hemorrhage	EFO:0000713	Exact	20002_1086-Noncancer_illness_code_selfreported_subarachnoid_haemorrhage	subarachnoid hemorrhage	disease
20002_1087	intermittent vascular claudication	EFO:0003876	Exact	20002_1087-Noncancer_illness_code_selfreported_leg_claudication_intermittent_claudication	intermittent vascular claudication	disease
20002_1093	pulmonary embolism	EFO:0003827	Exact	20002_1093-Noncancer_illness_code_selfreported_pulmonary_embolism_dvt	pulmonary embolism	disease
20002_1094	deep vein thrombosis	EFO:0003907	Exact	20002_1094-Noncancer_illness_code_selfreported_deep_venous_thrombosis_dvt	deep vein thrombosis	
20002_1111	asthma	EFO:0000270	Exact	20002_1111-Noncancer_illness_code_selfreported_asthma	asthma	disease
20002_1112	chronic obstructive pulmonary disease	EFO:0000341	Exact	20002_1112-Noncancer_illness_code_selfreported_chronic_obstructive_airways_diseasecopd	chronic obstructive pulmonary disease	disease
20002_1113	emphysema	EFO:0000464	Exact	20002_1113-Noncancer_illness_code_selfreported_emphysemachronic_bronchitis	emphysema	disease
20002_1114	bronchiectasis	HP:0002110	Exact	20002_1114-Noncancer_illness_code_selfreported_bronchiectasis	bronchiectasis	
20002_1115	interstitial lung disease	EFO:0004244	Exact	20002_1115-Noncancer_illness_code_selfreported_interstitial_lung_disease	interstitial lung disease	disease
20002_1120	asbestosis	EFO:0007153	Exact	20002_1120-Noncancer_illness_code_selfreported_asbestosis	asbestosis	disease
20002_1123	sleep apnea	EFO:0003877	Exact	20002_1123-Noncancer_illness_code_selfreported_sleep_apnoea	sleep apnea	disease
20002_1125	pleurisy	EFO:1001825	Exact	20002_1125-Noncancer_illness_code_selfreported_pleurisy	pleurisy	disease
20002_1126	spontaneous pneumothorax	HP:0002108	Exact	20002_1126-Noncancer_illness_code_selfreported_spontaneous_pneumothoraxrecurrent_pneumothorax	spontaneous pneumothorax	
20002_1138	gastroesophageal reflux disease	EFO:0003948	Exact	20002_1138-Noncancer_illness_code_selfreported_gastrooesophageal_reflux_gord_gastric_reflux	gastroesophageal reflux disease	disease
20002_1139	esophagitis  || Barrett's esophagus	HP:0100633, EFO:0000280	Exact	20002_1139-Noncancer_illness_code_selfreported_oesophagitisbarretts_oesophagus	esophagitis AND barrett's esophagus	disease
20002_1142	peptic ulcer	HP:0004398	Exact	20002_1142-Noncancer_illness_code_selfreported_gastricstomach_ulcers	peptic ulcer	
20002_1143	gastritis	EFO:0000217	Exact	20002_1143-Noncancer_illness_code_selfreported_gastritisgastric_erosions	gastritis	disease
20002_1154	irritable bowel syndrome	EFO:0000555	Exact	20002_1154-Noncancer_illness_code_selfreported_irritable_bowel_syndrome	irritable bowel syndrome	disease
20002_1155	hepatitis	HP:0012115	Exact	20002_1155-Noncancer_illness_code_selfreported_hepatitis	hepatitis	
20002_1156	viral human hepatitis infection	EFO:0004196	Exact	20002_1156-Noncancer_illness_code_selfreported_infectiveviral_hepatitis	viral human hepatitis infection	disease
20002_1158	cirrhosis of liver	EFO:0001422	Exact	20002_1158-Noncancer_illness_code_selfreported_liver_failurecirrhosis	cirrhosis of liver	disease
20002_1161	gallbladder disease	EFO:0003832	Exact	20002_1161-Noncancer_illness_code_selfreported_gall_bladder_disease	gallbladder disease	disease
20002_1162	gallstones  || cholelithiasis	EFO:0004210, EFO:0004799	Exact	20002_1162-Noncancer_illness_code_selfreported_cholelithiasisgall_stones	gallstones AND cholelithiasis	disease
20002_1163	cholecystitis	HP:0001082	Exact	20002_1163-Noncancer_illness_code_selfreported_cholecystitis	cholecystitis	
20002_1165	pancreatitis	EFO:0000278	Exact	20002_1165-Noncancer_illness_code_selfreported_pancreatitis	pancreatitis	disease
20002_1190	peritonitis	EFO:0008588	Exact	20002_1190-Noncancer_illness_code_selfreported_peritonitis	peritonitis	disease
20002_1191	gastrointestinal hemorrhage	HP:0002239	Exact	20002_1191-Noncancer_illness_code_selfreported_gastrointestinal_bleeding	gastrointestinal hemorrhage	
20002_1192	kidney failure	EFO:1002048	Exact	20002_1192-Noncancer_illness_code_selfreported_renalkidney_failure	kidney failure	disease
20002_1196	urinary tract infection	EFO:0003103	Exact	20002_1196-Noncancer_illness_code_selfreported_urinary_tract_infectionkidney_infection	urinary tract infection	disease
20002_1197	nephrolithiasis  || ureterolithiasis  || bladder calculus	EFO:0004253, EFO:1001228, EFO:1000839	Exact	20002_1197-Noncancer_illness_code_selfreported_kidney_stoneureter_stonebladder_stone	nephrolithiasis AND ureterolithiasis AND bladder calculus	disease
20002_1200	hydronephrosis	EFO:0005562	Exact	20002_1200-Noncancer_illness_code_selfreported_ureteric_obstructionhydronephrosis	hydronephrosis	disease
20002_1202	urgency urinary incontinence	EFO:0006865	Exact	20002_1202-Noncancer_illness_code_selfreported_urinary_frequency_incontinence	urgency urinary incontinence	
20002_1220	diabetes	EFO:0000400	Exact	20002_1220-Noncancer_illness_code_selfreported_diabetes	diabetes mellitus	disease
20002_1222	type i diabetes mellitus	EFO:0001359	Exact	20002_1222-Noncancer_illness_code_selfreported_type_1_diabetes	type i diabetes mellitus	disease
20002_1223	type ii diabetes mellitus	EFO:0001360	Exact	20002_1223-Noncancer_illness_code_selfreported_type_2_diabetes	type ii diabetes mellitus	disease
20002_1225	hyperthyroidism  || thyrotoxicosis	EFO:0009189, EFO:0009190	Exact	20002_1225-Noncancer_illness_code_selfreported_hyperthyroidismthyrotoxicosis	hyperthyroidism AND thyrotoxicosis	disease
20002_1226	hypothyroidism  || myxedema	EFO:0004705, EFO:1001055	Exact	20002_1226-Noncancer_illness_code_selfreported_hypothyroidismmyxoedema	hypothyroidism AND myxedema	disease
20002_1238	pituitary gland adenoma	EFO:1000478	Exact	20002_1238-Noncancer_illness_code_selfreported_pituitary_adenomatumour	pituitary gland adenoma	disease
20002_1246	encephalomyelitis	EFO:0001423	Exact	20002_1246-Noncancer_illness_code_selfreported_encephalitis	encephalomyelitis	disease
20002_1250	Bell's palsy	EFO:0007167	Exact	20002_1250-Noncancer_illness_code_selfreported_bells_palsyfacial_nerve_palsy	bell's palsy	disease
20002_1255	peripheral neuropathy	EFO:0003100	Exact	20002_1255-Noncancer_illness_code_selfreported_peripheral_neuropathy	peripheral neuropathy	disease
20002_1256	Guillain-Barre syndrome	EFO:0007292	Exact	20002_1256-Noncancer_illness_code_selfreported_acute_infective_polyneuritisguillainbarre_syndrome	guillain-barre syndrome	disease
20002_1261	multiple sclerosis	EFO:0003885	Exact	20002_1261-Noncancer_illness_code_selfreported_multiple_sclerosis	multiple sclerosis	disease
20002_1262	Parkinson's disease	EFO:0002508	Exact	20002_1262-Noncancer_illness_code_selfreported_parkinsons_disease	parkinson's disease	disease
20002_1264	epilepsy	EFO:0000474	Exact	20002_1264-Noncancer_illness_code_selfreported_epilepsy	epilepsy	disease
20002_1265	migraine disorder	EFO:0003821	Exact	20002_1265-Noncancer_illness_code_selfreported_migraine	migraine disorder	disease
20002_1267	spinal cord injury	EFO:1001919	Exact	20002_1267-Noncancer_illness_code_selfreported_spinal_injury	spinal cord injury	disease
20002_1274	eye infection	EFO:1001888	Exact	20002_1274-Noncancer_illness_code_selfreported_eye_infection	eye infection	disease
20002_1275	retinopathy	EFO:0003839	Exact	20002_1275-Noncancer_illness_code_selfreported_retinal_problem	retinopathy	disease
20002_1277	glaucoma	EFO:0000516	Exact	20002_1277-Noncancer_illness_code_selfreported_glaucoma	glaucoma	disease
20002_1278	cataract	EFO:0001059	Exact	20002_1278-Noncancer_illness_code_selfreported_cataract	cataract	disease
20002_1281	retinal detachment	EFO:0005773	Exact	20002_1281-Noncancer_illness_code_selfreported_retinal_detachment	retinal detachment	disease
20002_1282	retinal artery occlusion  || retinal vein occlusion	EFO:1001154, EFO:1001157	Exact	20002_1282-Noncancer_illness_code_selfreported_retinal_arteryvein_occlusion	retinal artery occlusion AND retinal vein occlusion	disease
20002_1286	unipolar depression	EFO:0003761	Narrow	20002_1286-Noncancer_illness_code_selfreported_depression	unipolar depression	disease
20002_1289	schizophrenia	EFO:0000692	Exact	20002_1289-Noncancer_illness_code_selfreported_schizophrenia	schizophrenia	disease
20002_1290	attempted suicide	EFO:0004321	Exact	20002_1290-Noncancer_illness_code_selfreported_deliberate_selfharmsuicide_attempt	attempted suicide	
20002_1291	bipolar disorder	EFO:0000289	Exact	20002_1291-Noncancer_illness_code_selfreported_maniabipolar_disordermanic_depression	bipolar disorder	disease
20002_1293	bone disease	EFO:0004260	Exact	20002_1293-Noncancer_illness_code_selfreported_bone_disorder	bone disease	disease
20002_1295	joint disease	EFO:1000999	Exact	20002_1295-Noncancer_illness_code_selfreported_joint_disorder	joint disease	disease
20002_1308	osteomyelitis	EFO:0003102	Exact	20002_1308-Noncancer_illness_code_selfreported_osteomyelitis	osteomyelitis	disease
20002_1309	osteoporosis	EFO:0003882	Exact	20002_1309-Noncancer_illness_code_selfreported_osteoporosis	osteoporosis	disease
20002_1313	ankylosing spondylitis	EFO:0003898	Exact	20002_1313-Noncancer_illness_code_selfreported_ankylosing_spondylitis	ankylosing spondylitis	disease
20002_1322	myositis  || myopathy	EFO:0000783, EFO:0004145	Exact	20002_1322-Noncancer_illness_code_selfreported_myositismyopathy	myositis AND myopathy	disease
20002_1327	thrombocytopenia	HP:0001873	Exact	20002_1327-Noncancer_illness_code_selfreported_low_plateletsplatelet_disorder	thrombocytopenia	
20002_1330	iron deficiency anemia	HP:0001891	Exact	20002_1330-Noncancer_illness_code_selfreported_iron_deficiency_anaemia	iron deficiency anemia	
20002_1331	pernicious anemia	EFO:0005576	Exact	20002_1331-Noncancer_illness_code_selfreported_pernicious_anaemia	pernicious anemia	disease
20002_1371	sarcoidosis	Orphanet:797	Exact	20002_1371-Noncancer_illness_code_selfreported_sarcoidosis	sarcoidosis	disease
20002_1372	vasculitis	EFO:0006803	Exact	20002_1372-Noncancer_illness_code_selfreported_vasculitis	vasculitis	disease
20002_1373	connective tissue disease	EFO:1001986	Exact	20002_1373-Noncancer_illness_code_selfreported_connective_tissue_disorder	connective tissue disease	disease
20002_1374	allergy	EFO:0003785	Broad	20002_1374-Noncancer_illness_code_selfreported_allergyhypersensitivityanaphylaxis	allergy	disease
20002_1377	polymyalgia rheumatica	EFO:0008518	Exact	20002_1377-Noncancer_illness_code_selfreported_polymyalgia_rheumatica	polymyalgia rheumatica	disease
20002_1381	systemic lupus erythematosus	EFO:0002690	Exact	20002_1381-Noncancer_illness_code_selfreported_systemic_lupus_erythematosissle	systemic lupus erythematosus	disease
20002_1382	Sjogren syndrome	EFO:0000699	Exact	20002_1382-Noncancer_illness_code_selfreported_sjogrens_syndromesicca_syndrome	sjogren syndrome	disease
20002_1384	scleroderma  || systemic scleroderma	EFO:1001993, EFO:0000717	Exact	20002_1384-Noncancer_illness_code_selfreported_sclerodermasystemic_sclerosis	scleroderma AND systemic scleroderma	disease
20002_1385	food allergy	EFO:1001890	Exact	20002_1385-Noncancer_illness_code_selfreported_allergy_or_anaphylactic_reaction_to_food	food allergy	disease
20002_1387	seasonal allergic rhinitis  || allergic rhinitis	EFO:0003956, EFO:0005854	Exact	20002_1387-Noncancer_illness_code_selfreported_hayfeverallergic_rhinitis	seasonal allergic rhinitis AND allergic rhinitis	disease
20002_1398	pneumonia	EFO:0003106	Exact	20002_1398-Noncancer_illness_code_selfreported_pneumonia	pneumonia	disease
20002_1400	peptic ulcer	HP:0004398	Exact	20002_1400-Noncancer_illness_code_selfreported_peptic_ulcer	peptic ulcer	
20002_1408	alcohol dependence	EFO:0003829	Exact	20002_1408-Noncancer_illness_code_selfreported_alcohol_dependency	alcohol dependence	disease
20002_1415	auditory system disease	EFO:1001455	Broad	20002_1415-Noncancer_illness_code_selfreported_earvestibular_disorder	auditory system disease	disease
20002_1416	sinusitis	EFO:0007486	Broad	20002_1416-Noncancer_illness_code_selfreported_chronic_sinusitis	sinusitis	disease
20002_1417	nasal cavity polyp	EFO:1000391	Exact	20002_1417-Noncancer_illness_code_selfreported_nasal_polyps	nasal cavity polyp	disease
20002_1420	otosclerosis	EFO:0004213	Exact	20002_1420-Noncancer_illness_code_selfreported_otosclerosis	otosclerosis	disease
20002_1421	Meniere disease	EFO:0006862	Exact	20002_1421-Noncancer_illness_code_selfreported_menieres_disease	meniere disease	disease
20002_1425	brain aneurysm	EFO:0003870	Exact	20002_1425-Noncancer_illness_code_selfreported_cerebral_aneurysm	brain aneurysm	disease
20002_1427	polycystic kidney disease	EFO:0008620	Exact	20002_1427-Noncancer_illness_code_selfreported_polycystic_kidney	polycystic kidney disease	disease
20002_1428	thyroid disease	EFO:1000627	Exact	20002_1428-Noncancer_illness_code_selfreported_thyroiditis	thyroid disease	disease
20002_1430	hypopituitarism	EFO:0001380	Exact	20002_1430-Noncancer_illness_code_selfreported_hypopituitarism	hypopituitarism	disease
20002_1433	cerebral palsy	EFO:1000632	Exact	20002_1433-Noncancer_illness_code_selfreported_cerebral_palsy	cerebral palsy	disease
20002_1435	optic neuritis	EFO:0007405	Exact	20002_1435-Noncancer_illness_code_selfreported_optic_neuritis	optic neuritis	disease
20002_1436	headache	HP:0002315	Exact	20002_1436-Noncancer_illness_code_selfreported_headaches_not_migraine	headache	
20002_1437	myasthenia gravis	EFO:0004991	Exact	20002_1437-Noncancer_illness_code_selfreported_myasthenia_gravis	myasthenia gravis	disease
20002_1438	polycythemia vera	EFO:0002429	Exact	20002_1438-Noncancer_illness_code_selfreported_polycythaemia_vera	polycythemia vera	disease
20002_1439	HIV infection  || AIDS	EFO:0000764, EFO:0000765	Exact	20002_1439-Noncancer_illness_code_selfreported_hivaids	hiv infection AND aids	disease
20002_1440	tuberculosis	Orphanet:3389	Exact	20002_1440-Noncancer_illness_code_selfreported_tuberculosis_tb	tuberculosis	disease
20002_1441	malaria	EFO:0001068	Exact	20002_1441-Noncancer_illness_code_selfreported_malaria	malaria	disease
20002_1442	Helicobacter pylori	NCBITaxon:210	Exact	20002_1442-Noncancer_illness_code_selfreported_helicobacter_pylori	helicobacter pylori	
20002_1446	anemia	EFO:0004272	Exact	20002_1446-Noncancer_illness_code_selfreported_anaemia	anemia (phenotype)	
20002_1452	eczema	HP:0000964	Exact	20002_1452-Noncancer_illness_code_selfreported_eczemadermatitis	eczema	
20002_1453	psoriasis	EFO:0000676	Exact	20002_1453-Noncancer_illness_code_selfreported_psoriasis	psoriasis	disease
20002_1455	chronic ulcer of skin	EFO:0007066	Exact	20002_1455-Noncancer_illness_code_selfreported_chronic_skin_ulcers	chronic ulcer of skin	
20002_1456	celiac disease	EFO:0001060	Exact	20002_1456-Noncancer_illness_code_selfreported_malabsorptioncoeliac_disease	celiac disease	disease
20002_1457	duodenal ulcer	EFO:0004607	Exact	20002_1457-Noncancer_illness_code_selfreported_duodenal_ulcer	duodenal ulcer	disease
20002_1458	diverticulitis	EFO:1001460	Exact	20002_1458-Noncancer_illness_code_selfreported_diverticular_diseasediverticulitis	diverticulitis	disease
20002_1459	colitis	EFO:0003872	Exact	20002_1459-Noncancer_illness_code_selfreported_colitisnot_crohns_or_ulcerative_colitis	colitis	disease
20002_1460	adenomatous colon polyp	EFO:1000633	Exact	20002_1460-Noncancer_illness_code_selfreported_rectal_or_colon_adenomapolyps	adenomatous colon polyp	disease
20002_1461	inflammatory bowel disease	EFO:0003767	Exact	20002_1461-Noncancer_illness_code_selfreported_inflammatory_bowel_disease	inflammatory bowel disease	disease
20002_1462	Crohn's disease	EFO:0000384	Exact	20002_1462-Noncancer_illness_code_selfreported_crohns_disease	crohn's disease	disease
